Date,Company,Pred_Air,Pred_Express,Pred_International,Pred_Surface,target_Air,target_Express,target_International,target_Surface
2025-01-01,BlueDart,3.5922523,2.2140942,0.90581363,4.0607786,3.0,0.0,0.0,4.0
2025-01-01,DHL Express,6.619059,3.5598986,0.6396749,7.2291245,4.0,4.0,1.0,9.0
2025-01-01,DTDC,5.131885,2.6861272,0.6397769,6.09319,7.0,3.0,0.0,3.0
2025-01-01,Delhivery,6.7743545,3.6109395,1.2504724,9.052608,12.0,3.0,0.0,3.0
2025-01-01,Ecom Express,5.0275855,2.7587128,0.7189934,5.8063884,4.0,4.0,0.0,6.0
2025-01-01,FedEx India,3.8139791,2.078106,0.81282526,4.1700377,1.0,3.0,0.0,3.0
2025-01-01,Shadowfax,2.1134584,1.5126508,0.5845796,2.2266865,3.0,1.0,0.0,5.0
2025-01-01,XpressBees,3.5856383,1.5997819,0.39395183,2.7449238,4.0,2.0,1.0,3.0
2025-01-02,BlueDart,2.7886229,1.8786952,0.616988,4.6580024,2.0,2.0,0.0,3.0
2025-01-02,DHL Express,6.066511,3.2201416,0.75271606,6.317264,5.0,3.0,0.0,7.0
2025-01-02,DTDC,5.348034,2.9621882,0.74949497,6.2786245,7.0,4.0,0.0,5.0
2025-01-02,Delhivery,6.2316885,3.9324574,0.8375166,7.572721,7.0,2.0,0.0,9.0
2025-01-02,Ecom Express,5.425391,2.7118647,0.89272684,5.771278,8.0,3.0,1.0,5.0
2025-01-02,FedEx India,3.7254176,2.3026865,0.7136586,4.124994,3.0,3.0,0.0,3.0
2025-01-02,Shadowfax,2.488154,1.4949751,0.3540724,3.037687,2.0,1.0,0.0,3.0
2025-01-02,XpressBees,3.241048,1.7767978,0.3436762,3.2864017,5.0,1.0,0.0,6.0
2025-01-03,BlueDart,3.8063724,1.756032,0.5050403,4.9102273,8.0,1.0,1.0,7.0
2025-01-03,DHL Express,6.665052,3.033803,0.8668299,6.304287,7.0,6.0,2.0,6.0
2025-01-03,DTDC,4.7616568,3.3317604,0.7432073,6.2749624,3.0,1.0,0.0,3.0
2025-01-03,Delhivery,6.610264,4.0008945,0.97534454,7.1489964,8.0,5.0,1.0,10.0
2025-01-03,Ecom Express,5.0945497,2.6861062,0.88520783,5.9770503,7.0,3.0,1.0,7.0
2025-01-03,FedEx India,3.8113682,1.9193333,0.6630412,4.1265187,6.0,5.0,1.0,6.0
2025-01-03,Shadowfax,2.61727,1.3291087,0.38163066,2.9934592,5.0,3.0,1.0,6.0
2025-01-03,XpressBees,3.4835331,1.6523267,0.4805605,3.9667878,5.0,1.0,1.0,6.0
2025-01-04,BlueDart,3.8482015,1.8276851,0.53546846,4.596582,6.0,6.0,0.0,3.0
2025-01-04,DHL Express,5.8510118,3.8512876,0.83951306,6.485571,9.0,2.0,1.0,5.0
2025-01-04,DTDC,5.411807,3.1921513,0.4680084,5.779063,7.0,2.0,1.0,10.0
2025-01-04,Delhivery,6.00808,3.216585,0.8673512,7.4462447,12.0,7.0,0.0,8.0
2025-01-04,Ecom Express,5.204076,2.7755544,0.5538185,5.7900953,5.0,5.0,0.0,7.0
2025-01-04,FedEx India,3.6077573,1.9160733,0.5979103,4.5477962,6.0,3.0,1.0,6.0
2025-01-04,Shadowfax,2.2706673,1.5105305,0.15011905,2.641543,1.0,4.0,0.0,0.0
2025-01-04,XpressBees,3.097264,1.7166806,0.2807144,3.978787,4.0,3.0,1.0,2.0
2025-01-05,BlueDart,5.009065,1.5063474,0.7211115,5.330503,3.0,3.0,1.0,5.0
2025-01-05,DHL Express,6.115698,3.1953716,0.715891,6.0575852,7.0,4.0,0.0,3.0
2025-01-05,DTDC,4.6239133,2.8092513,0.45104578,6.2679825,6.0,2.0,1.0,3.0
2025-01-05,Delhivery,5.542222,3.5447838,0.80284023,7.799014,3.0,1.0,0.0,2.0
2025-01-05,Ecom Express,5.2238054,2.6629686,0.6308468,5.2536817,7.0,3.0,0.0,5.0
2025-01-05,FedEx India,4.31504,2.2415183,0.48311958,3.9584756,4.0,0.0,1.0,2.0
2025-01-05,Shadowfax,2.4755337,1.4059302,0.20409049,3.4959333,8.0,0.0,0.0,7.0
2025-01-05,XpressBees,3.3568568,1.6786178,0.3069676,3.303922,5.0,1.0,1.0,3.0
