company_name,booking_date,Air,Express,International,Surface,lag_1_Air,lag_7_Air,roll_7_Air,lag_1_Express,lag_7_Express,roll_7_Express,lag_1_International,lag_7_International,roll_7_International,lag_1_Surface,lag_7_Surface,roll_7_Surface,day_of_week,day,month,company_encoded,target_Air,target_Express,target_International,target_Surface
BlueDart,2021-01-07,3,1,0,4,3,5.0,4.285714285714286,1,2.0,1.7142857142857142,0,1.0,0.7142857142857143,4,6.0,5.428571428571429,3,7,1,0,4.0,2.0,0.0,7.0
BlueDart,2021-01-08,4,2,0,7,4,4.0,4.142857142857143,2,1.0,1.7142857142857142,0,2.0,0.5714285714285714,7,5.0,5.571428571428571,4,8,1,0,9.0,1.0,0.0,6.0
BlueDart,2021-01-09,9,1,0,6,9,6.0,4.857142857142857,1,2.0,1.7142857142857142,0,0.0,0.2857142857142857,6,5.0,5.714285714285714,5,9,1,0,7.0,0.0,2.0,3.0
BlueDart,2021-01-10,7,0,2,3,7,3.0,5.0,0,3.0,1.4285714285714286,2,1.0,0.5714285714285714,3,7.0,5.428571428571429,6,10,1,0,2.0,2.0,1.0,7.0
BlueDart,2021-01-11,2,2,1,7,2,7.0,4.857142857142857,2,0.0,1.2857142857142858,1,1.0,0.5714285714285714,7,3.0,5.428571428571429,0,11,1,0,4.0,4.0,0.0,6.0
BlueDart,2021-01-12,4,4,0,6,4,2.0,4.428571428571429,4,3.0,1.8571428571428572,0,0.0,0.42857142857142855,6,8.0,5.857142857142857,1,12,1,0,5.0,1.0,3.0,4.0
BlueDart,2021-01-13,5,1,3,4,5,3.0,4.857142857142857,1,1.0,1.5714285714285714,3,0.0,0.8571428571428571,4,4.0,5.285714285714286,2,13,1,0,3.0,5.0,2.0,5.0
BlueDart,2021-01-14,3,5,2,5,3,4.0,4.857142857142857,5,2.0,2.142857142857143,2,0.0,1.1428571428571428,5,7.0,5.428571428571429,3,14,1,0,2.0,0.0,0.0,5.0
BlueDart,2021-01-15,2,0,0,5,2,9.0,4.571428571428571,0,1.0,1.8571428571428572,0,0.0,1.1428571428571428,5,6.0,5.142857142857143,4,15,1,0,2.0,2.0,1.0,6.0
BlueDart,2021-01-16,2,2,1,6,2,7.0,3.5714285714285716,2,0.0,2.0,1,2.0,1.2857142857142858,6,3.0,5.142857142857143,5,16,1,0,5.0,1.0,2.0,3.0
BlueDart,2021-01-17,5,1,2,3,5,2.0,3.2857142857142856,1,2.0,2.142857142857143,2,1.0,1.2857142857142858,3,7.0,5.142857142857143,6,17,1,0,5.0,3.0,0.0,3.0
BlueDart,2021-01-18,5,3,0,3,5,4.0,3.7142857142857144,3,4.0,2.2857142857142856,0,0.0,1.1428571428571428,3,6.0,4.571428571428571,0,18,1,0,4.0,0.0,0.0,3.0
BlueDart,2021-01-19,4,0,0,3,4,5.0,3.7142857142857144,0,1.0,1.7142857142857142,0,3.0,1.1428571428571428,3,4.0,4.142857142857143,1,19,1,0,5.0,2.0,1.0,4.0
BlueDart,2021-01-20,5,2,1,4,5,3.0,3.7142857142857144,2,5.0,1.8571428571428572,1,2.0,0.8571428571428571,4,5.0,4.142857142857143,2,20,1,0,7.0,2.0,2.0,4.0
BlueDart,2021-01-21,7,2,2,4,7,2.0,4.285714285714286,2,0.0,1.4285714285714286,2,0.0,0.8571428571428571,4,5.0,4.0,3,21,1,0,6.0,1.0,0.0,6.0
BlueDart,2021-01-22,6,1,0,6,6,2.0,4.857142857142857,1,2.0,1.5714285714285714,0,1.0,0.8571428571428571,6,6.0,4.142857142857143,4,22,1,0,7.0,0.0,1.0,4.0
BlueDart,2021-01-23,7,0,1,4,7,5.0,5.571428571428571,0,1.0,1.2857142857142858,1,2.0,0.8571428571428571,4,3.0,3.857142857142857,5,23,1,0,2.0,3.0,0.0,2.0
BlueDart,2021-01-24,2,3,0,2,2,5.0,5.142857142857143,3,3.0,1.5714285714285714,0,0.0,0.5714285714285714,2,3.0,3.7142857142857144,6,24,1,0,2.0,7.0,0.0,7.0
BlueDart,2021-01-25,2,7,0,7,2,4.0,4.714285714285714,7,0.0,2.142857142857143,0,0.0,0.5714285714285714,7,3.0,4.285714285714286,0,25,1,0,6.0,0.0,0.0,6.0
BlueDart,2021-01-26,6,0,0,6,6,5.0,5.0,0,2.0,2.142857142857143,0,1.0,0.5714285714285714,6,4.0,4.714285714285714,1,26,1,0,2.0,1.0,1.0,4.0
BlueDart,2021-01-27,2,1,1,4,2,7.0,4.571428571428571,1,2.0,2.0,1,2.0,0.5714285714285714,4,4.0,4.714285714285714,2,27,1,0,4.0,1.0,0.0,7.0
BlueDart,2021-01-28,4,1,0,7,4,6.0,4.142857142857143,1,1.0,1.8571428571428572,0,0.0,0.2857142857142857,7,6.0,5.142857142857143,3,28,1,0,4.0,1.0,2.0,4.0
BlueDart,2021-01-29,4,1,2,4,4,7.0,3.857142857142857,1,0.0,1.8571428571428572,2,1.0,0.5714285714285714,4,4.0,4.857142857142857,4,29,1,0,2.0,3.0,0.0,1.0
BlueDart,2021-01-30,2,3,0,1,2,2.0,3.142857142857143,3,3.0,2.2857142857142856,0,0.0,0.42857142857142855,1,2.0,4.428571428571429,5,30,1,0,2.0,4.0,1.0,4.0
BlueDart,2021-01-31,2,4,1,4,2,2.0,3.142857142857143,4,7.0,2.4285714285714284,1,0.0,0.5714285714285714,4,7.0,4.714285714285714,6,31,1,0,1.0,3.0,0.0,4.0
BlueDart,2021-02-01,1,3,0,4,1,6.0,3.0,3,0.0,1.8571428571428572,0,0.0,0.5714285714285714,4,6.0,4.285714285714286,0,1,2,0,3.0,2.0,0.0,5.0
